major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachyte / Trachydacite, , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
 , , , , , , , , 
Trachyandesite / Basaltic Trachyandesite, , , ,Phonolite,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite, , 
 , , , , , , , , 
Trachybasalt / Tephrite Basanite,Phonolite, , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
 , , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Dacite, , , ,Rhyolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , 
Andesite / Basaltic Andesite, , , ,Dacite, , , , 
Andesite / Basaltic Andesite,Dacite, , ,Rhyolite, , , , 
Dacite,Andesite / Basaltic Andesite, , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , ,Andesite / Basaltic Andesite,Trachyte / Trachydacite, , , 
Trachybasalt / Tephrite Basanite,Trachyte / Trachydacite, , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Dacite, , , ,Basalt / Picro-Basalt, , , , 
Phono-tephrite /  Tephri-phonolite, , , ,Basalt / Picro-Basalt,Foidite, , , 
 , , , , , , , , 
Rhyolite, , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt,Dacite, , , , , , , 
Basalt / Picro-Basalt, , , ,Andesite / Basaltic Andesite,Rhyolite, , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
Trachyandesite / Basaltic Trachyandesite,Dacite,Basalt / Picro-Basalt, , , , , , 
Trachyandesite / Basaltic Trachyandesite, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , ,Basalt / Picro-Basalt, , , , 
Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite, , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Dacite, , , , , , , , 
Rhyolite,Dacite, , ,Andesite / Basaltic Andesite, , , , 
Dacite, , , ,Basalt / Picro-Basalt,Rhyolite, , , 
 , , , , , , , , 
Dacite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
 , , , , , , , , 
Foidite, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Rhyolite, , , , , , , , 
Trachyte / Trachydacite,Phono-tephrite /  Tephri-phonolite, , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Trachybasalt / Tephrite Basanite, , , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Rhyolite, , , , , 
Dacite,Rhyolite, , , , , , , 
 , , , ,Andesite / Basaltic Andesite,Dacite, , , 
Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt,Dacite, , , , , , , 
Basalt / Picro-Basalt,Phonolite,Phono-tephrite /  Tephri-phonolite, , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Andesite / Basaltic Andesite, , , , , , , , 
 , , , , , , , , 
Trachyte / Trachydacite,Basalt / Picro-Basalt, , , , , , , 
Basalt / Picro-Basalt,Phono-tephrite /  Tephri-phonolite, , , , , , , 
Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
Andesite / Basaltic Andesite, , , ,Dacite, , , , 
Andesite / Basaltic Andesite, , , , , , , , 
Rhyolite,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , 
 , , , , , , , , 
Rhyolite,Andesite / Basaltic Andesite,Dacite, , , , , , 
Dacite,Basalt / Picro-Basalt, , ,Trachyte / Trachydacite, , , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
 , , , , , , , , 
Dacite,Basalt / Picro-Basalt, , , , , , , 
 , , , ,Basalt / Picro-Basalt, , , , 
 , , , , , , , , 
Dacite, , , ,Basalt / Picro-Basalt, , , , 
Phono-tephrite /  Tephri-phonolite, , , ,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Foidite, , 
 , , , , , , , , 
Dacite, , , , , , , , 
Rhyolite, , , ,Andesite / Basaltic Andesite, , , , 
Dacite, , , , , , , , 
Andesite / Basaltic Andesite,Rhyolite,Basalt / Picro-Basalt, , , , , , 
Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , 
 , , , , , , , , 
Dacite,Andesite / Basaltic Andesite, , , , , , , 
Rhyolite, , , , , , , , 
Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite, , , , , , 
Phono-tephrite /  Tephri-phonolite,Phonolite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , 
Trachyte / Trachydacite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , 
Andesite / Basaltic Andesite,Dacite, , , , , , , 
 , , , ,Andesite / Basaltic Andesite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , 
Andesite / Basaltic Andesite, , , , , , , , 
Rhyolite, , , , , , , , 
Trachyte / Trachydacite,Basalt / Picro-Basalt, , ,Trachybasalt / Tephrite Basanite, , , , 
Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,Trachyte / Trachydacite, , , , 
Dacite, , , , , , , , 
Dacite,Rhyolite, , ,Basalt / Picro-Basalt, , , , 
Basalt / Picro-Basalt, , , , , , , , 
Phonolite, , , , , , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
Rhyolite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Phonolite, , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , , , , , , 
Dacite, , , , , , , , 
 , , , , , , , , 
Basalt / Picro-Basalt, , , ,Trachyandesite / Basaltic Trachyandesite,Phono-tephrite /  Tephri-phonolite, , , 
Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Basalt / Picro-Basalt,Dacite, , , , , 
Rhyolite,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite,Trachybasalt / Tephrite Basanite, , , , , 
